,profit,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,ROI_pct,release_dt
254,125665000,28000000,Paramount Pictures,USA,Tony Scott,Action,153665000,Beverly Hills Cop II,R,5/20/1987,100,6.5,Eddie Murphy,90969,Danilo Bach,1987,448.8035714285714,1987-05-20
256,20984230,23000000,Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Biography,43984230,The Last Emperor,PG-13,4/15/1988,163,7.8,John Lone,76408,Mark Peploe,1987,91.23578260869564,1988-04-15
257,110922370,13000000,Touchstone Pictures,USA,Barry Levinson,Biography,123922370,"Good Morning, Vietnam",R,1/15/1988,121,7.3,Robin Williams,106924,Mitch Markowitz,1987,853.2489999999999,1988-01-15
258,530592,2600000,Merchant Ivory Productions,UK,James Ivory,Drama,3130592,Maurice,R,9/18/1987,140,7.7,James Wilby,11837,E.M. Forster,1987,20.407384615384604,1987-09-18
259,156780960,11000000,Interscope Communications,USA,Leonard Nimoy,Comedy,167780960,3 Men and a Baby,PG,11/25/1987,102,5.9,Tom Selleck,39544,Coline Serreau,1987,1425.2814545454546,1987-11-25
260,11182492,3000000,Alive Films,USA,John Carpenter,Horror,14182492,Prince of Darkness,R,10/23/1987,102,6.7,Donald Pleasence,28064,John Carpenter,1987,372.7497333333333,1987-10-23
261,47715416,6500000,Columbia Pictures Corporation,USA,Luis Valdez,Biography,54215416,La Bamba,PG-13,7/24/1987,108,6.8,Lou Diamond Phillips,22839,Luis Valdez,1987,734.0833230769231,1987-07-24
262,-1630693,5000000,F/M,USA,Kathryn Bigelow,Action,3369307,Near Dark,R,1988,94,7.0,Adrian Pasdar,27485,Kathryn Bigelow,1987,-32.613859999999995,1988-01-01
265,20509515,15000000,Orion Pictures,USA,Roger Donaldson,Action,35509515,No Way Out,R,8/14/1987,114,7.1,Kevin Costner,28684,Kenneth Fearing,1987,136.7301,1987-08-14
270,31249404,20000000,Amercent Films,USA,James L. Brooks,Comedy,51249404,Broadcast News,R,12/25/1987,133,7.2,William Hurt,22802,James L. Brooks,1987,156.24702,1987-12-25
271,11039458,2500000,New Century Entertainment Corporation,Canada,Tibor Tak�cs,Fantasy,13539458,T�nel al infierno,PG-13,5/15/1987,85,6.0,Stephen Dorff,11435,Michael Nankin,1987,441.57831999999996,1987-05-15
272,-1318980,17000000,Cannon Films,UK,Sidney J. Furie,Action,15681020,Superman IV: The Quest for Peace,PG,7/24/1987,90,3.6,Christopher Reeve,35866,Joe Shuster,1987,-7.758705882352945,1987-07-24
273,10500000,3500000,Laurel Entertainment Inc.,USA,Michael Gornick,Comedy,14000000,Creepshow 2,R,5/1/1987,92,6.0,George Kennedy,17500,Stephen King,1987,300.0,1987-05-01
274,4888703,3000000,Atlantic Entertainment Group,USA,Christopher Leitch,Comedy,7888703,Teen Wolf Too,PG,11/20/1987,95,3.2,Jason Bateman,8905,Jeph Loeb,1987,162.95676666666665,1987-11-20
275,28050884,12000000,Columbia Pictures Industries,USA,Fred Schepisi,Comedy,40050884,Roxanne,PG,6/19/1987,107,6.6,Steve Martin,34794,Edmond Rostand,1987,233.75736666666666,1987-06-19
276,54995879,12000000,Rastar Pictures,USA,Herbert Ross,Comedy,66995879,The Secret of My Succe$s,PG-13,4/10/1987,111,6.5,Michael J. Fox,24685,Jim Cash,1987,458.29899166666667,1987-04-10
277,37387516,20000000,Applied Action,USA,Tom Mankiewicz,Comedy,57387516,Dragnet,PG-13,6/26/1987,106,5.9,Dan Aykroyd,27387,Dan Aykroyd,1987,186.93757999999997,1987-06-26
279,21321715,18000000,TriStar Pictures,USA,Blake Edwards,Comedy,39321715,Blind Date,PG-13,3/27/1987,95,5.9,Kim Basinger,17903,Dale Launer,1987,118.4539722222222,1987-03-27
282,576615,1000000,Atlantic Entertainment Group,USA,Rod Amateau,Adventure,1576615,The Garbage Pail Kids Movie,PG,8/22/1987,100,2.7,Anthony Newley,6348,Linda Palmer,1987,57.66150000000001,1987-08-22
