,profit,budget,company,country,director,genre,gross,name,rating,released,runtime,star,writer,year,ROI_pct,release_dt
2211,51651430,27000000,Miramax,USA,Anthony Minghella,Drama,78651430,The English Patient,R,12/6/1996,162,Ralph Fiennes,Michael Ondaatje,1996,191.30159259259258,1996-12-06
2212,103952592,50000000,TriStar Pictures,USA,Cameron Crowe,Comedy,153952592,Jerry Maguire,R,12/13/1996,139,Tom Cruise,Cameron Crowe,1996,207.905184,1996-12-13
2213,9881000,15000000,Columbia Pictures Corporation,USA,Andrew Fleming,Drama,24881000,The Craft,R,5/3/1996,101,Robin Tunney,Peter Filardi,1996,65.87333333333333,1996-05-03
2214,100981856,80000000,Paramount Pictures,USA,Brian De Palma,Action,180981856,Mission: Impossible,PG-13,5/22/1996,110,Tom Cruise,Bruce Geller,1996,126.22732,1996-05-22
2215,26116183,30000000,Paramount Pictures,USA,Gregory Hoblit,Crime,56116183,Primal Fear,R,4/3/1996,129,Richard Gere,William Diehl,1996,87.05394333333332,1996-04-03
2216,10463534,80000000,Warner Bros. Family Entertainment,USA,Joe Pytka,Animation,90463534,Space Jam,PG,11/15/1996,88,Michael Jordan,Leo Benvenuti,1996,13.079417500000002,1996-11-15
2217,59069511,75000000,Hollywood Pictures,USA,Michael Bay,Action,134069511,The Rock,R,6/7/1996,136,Sean Connery,David Weisberg,1996,78.75934799999999,1996-06-07
2219,68766007,40000000,Regency Enterprises,USA,Joel Schumacher,Crime,108766007,A Time to Kill,R,7/24/1996,149,Matthew McConaughey,John Grisham,1996,171.9150175,1996-07-24
2220,-32228983,70000000,Tim Burton Productions,USA,Tim Burton,Comedy,37771017,Mars Attacks!,PG-13,12/13/1996,106,Jack Nicholson,Len Brown,1996,-46.041404285714286,1996-12-13
2221,12675000,4000000,Dimension Films,USA,Kevin Yagher,Horror,16675000,Hellraiser: Bloodline,R,3/8/1996,85,Bruce Ramsay,Peter Atkins,1996,316.875,1996-03-08
2222,-15808688,36000000,Columbia Pictures Corporation,USA,Milos Forman,Biography,20191312,The People vs. Larry Flynt,R,1/10/1997,129,Woody Harrelson,Scott Alexander,1996,-43.91302222222222,1997-01-10
2223,93060553,31000000,United Artists,USA,Mike Nichols,Comedy,124060553,The Birdcage,R,3/8/1996,117,Robin Williams,Jean Poiret,1996,300.1953322580645,1996-03-08
2224,-12336018,40000000,New Line Cinema,USA,John Frankenheimer,Horror,27663982,The Island of Dr. Moreau,PG-13,8/23/1996,96,David Thewlis,H.G. Wells,1996,-30.840045,1996-08-23
2225,138851,100000000,Walt Disney Feature Animation,USA,Gary Trousdale,Animation,100138851,The Hunchback of Notre Dame,G,6/21/1996,91,Demi Moore,Tab Murphy,1996,0.138851,1996-06-21
2226,-17659897,25000000,Twentieth Century Fox Film Corporation,USA,Nicholas Hytner,Drama,7340103,The Crucible,PG-13,11/27/1996,124,Daniel Day-Lewis,Arthur Miller,1996,-70.639588,1996-11-27
2227,-190187,26000000,Clavius Base,USA,Tom Hanks,Comedy,25809813,That Thing You Do!,PG,10/4/1996,108,Tom Hanks,Tom Hanks,1996,-0.7314884615384616,1996-10-04
