,duration,budget,gross,year,month,roi_outlier_ind
719,98,1000000,366,2011,8,False
720,124,1000000,1331651,2009,9,False
721,142,1000000,56834,2006,3,False
722,90,1000000,138524,2007,3,False
723,90,1000000,211094,2008,4,False
724,94,1000000,5860,2012,1,False
725,90,1000000,8140,2019,3,False
727,89,1000000,744266,2010,12,False
728,99,1000000,25380,2008,9,False
729,76,1000000,9984,2020,2,False
730,101,1000000,31401,2009,2,False
731,100,1000000,1558,2009,8,False
732,91,1000000,887172,2011,8,False
733,87,1000000,5964,2010,5,False
734,85,1000000,1403,2009,1,False
735,98,1000000,27183,2013,9,False
736,90,1000000,1228854,2008,11,False
737,103,1000000,1949614,2009,1,False
738,94,1000000,13500,2009,12,False
739,85,1000000,111996,2009,9,False
740,92,1000000,11777,2010,1,False
741,95,1000000,9463,2008,10,False
742,94,1000000,136815,2011,4,False
743,93,1000000,28491,2010,2,False
744,90,1000000,62820,2009,9,False
745,85,1000000,11850,2010,11,False
746,82,1000000,2706679,2010,5,False
747,88,1000000,14693,2012,11,False
749,87,1000000,110289,2010,5,False
750,110,1000000,149118,2010,9,False
751,110,1000000,93944,2010,2,False
752,88,1000000,3405485,2011,3,False
753,83,1000000,227283,2011,10,False
754,86,1000000,397072,2015,1,False
755,90,1000000,8335,2011,10,False
756,100,1000000,638274,2011,6,False
757,92,1000000,832710,2010,8,False
758,81,1000000,4175,2013,5,False
759,96,1000000,2504058,2012,8,False
761,83,1000000,317411,2011,1,False
763,95,1000000,117797,2011,5,False
764,112,1000000,96734,2012,6,False
765,103,1000000,6543,2012,3,False
767,100,1000000,73621,2011,12,False
768,81,1000000,2266067,2012,4,False
769,116,1000000,669247,2014,10,False
770,95,1000000,106974,2014,7,False
771,129,1000000,377803,2012,10,False
772,97,1000000,395764,2013,3,False
773,122,1000000,297105,2012,2,False
774,98,1000000,549185,2014,10,False
775,91,1000000,205715,2013,3,False
777,91,1000000,439263,2012,11,False
778,93,1000000,48867,2013,12,False
779,120,1000000,136374,2017,4,False
780,86,1000000,18089,2014,1,False
781,81,1000000,772000,2018,7,False
782,104,1000000,185147,2014,2,False
783,106,1000000,1290173,2013,1,False
784,149,1000000,120137,2013,2,False
785,105,1000000,367872,2013,8,False
786,88,1000000,413567,2014,8,False
787,117,1000000,79624,2014,10,False
788,88,1000000,128788,2016,6,False
789,87,1000000,24343,2014,9,False
791,83,1000000,32521,2015,1,False
792,105,1000000,77096,2015,3,False
793,98,1000000,25015,2017,1,False
794,97,1000000,53752,2015,11,False
797,113,1000000,20584,2015,3,False
798,107,1000000,176777,2016,6,False
799,96,1000000,5332286,2014,11,False
801,98,1000000,202045,2015,9,False
802,110,1000000,392088,2015,3,False
803,80,1000000,4539,2016,11,False
804,89,1000000,621738,2016,6,False
805,83,1000000,423981,2016,8,False
807,92,1000000,2332251,2015,9,False
808,83,1000000,385428,2017,7,False
809,89,1000000,7059,2019,5,False
810,96,1000000,1426,2017,6,False
811,104,1000000,1687000,2017,3,False
812,88,1000000,1563249,2016,2,False
814,130,1000000,902012,2016,12,False
815,85,1000000,38398,2017,2,False
816,95,1000000,2702,2019,3,False
817,90,1000000,3101,2020,4,False
818,90,1000000,1047,2019,8,False
819,95,1000000,181172,2018,2,False
820,137,1000000,188044,2018,9,False
821,105,1000000,12135,2018,10,False
822,139,1000000,19705,2019,5,False
823,112,1009653,1212354,2011,8,False
824,107,1100000,1504286,1986,12,False
825,99,1100000,1355728,1987,7,False
826,82,1100000,5450815,1986,1,False
828,85,1100000,671382,1988,8,False
829,85,1100000,713239,1998,6,False
830,97,1100000,1112,2005,12,False
831,95,1100000,3291555,2006,7,False
833,93,1100000,123670,2007,11,False
834,120,1100000,162640,2019,8,False
835,92,1100000,7013247,2020,1,False
836,105,1100000,659483,2009,8,False
837,94,1100000,16880,2009,4,False
838,92,1100000,24554,2010,4,False
840,101,1100000,103739,2013,9,False
841,109,1100000,26448,2015,5,False
842,91,1100000,5012,2014,1,False
843,132,1100000,810229,2016,4,False
844,102,1100000,97699,2015,10,False
845,103,1100000,3293667,2015,10,False
846,100,1100000,976882,2018,4,False
847,98,1100000,20418,2017,3,False
848,118,1170000,23766,2014,2,False
849,90,1200000,3109904,1988,10,False
851,99,1200000,2889963,1992,10,False
852,96,1200000,59001,1998,1,False
853,85,1200000,2595216,1999,8,False
855,88,1200000,60000,2001,7,False
856,106,1200000,446325,2004,9,False
857,96,1200000,5471,2003,1,False
858,115,1200000,28463,2002,12,False
859,102,1200000,151200,2003,9,False
861,90,1200000,158612,2005,12,False
862,102,1200000,72810,2005,4,False
863,102,1200000,463542,2006,2,False
864,94,1200000,259753,2005,3,False
865,123,1200000,1577440,2007,2,False
866,91,1200000,470,2008,11,False
867,114,1200000,6305,2008,11,False
868,91,1200000,5107,2009,1,False
869,98,1200000,6875089,2007,8,False
870,88,1200000,6534,2008,12,False
871,88,1200000,7199,2010,5,False
872,116,1200000,1827047,2008,2,False
873,102,1200000,2596,2010,6,False
874,97,1200000,121254,2011,3,False
875,108,1200000,595018,2012,3,False
876,100,1200000,232857,2012,6,False
877,107,1200000,597199,2011,8,False
878,113,1200000,2861020,2013,2,False
879,76,1200000,296500,2012,2,False
880,101,1200000,3329674,2012,9,False
881,88,1200000,5948,2013,4,False
882,85,1200000,45696,2019,4,False
883,90,1200000,6112,2016,7,False
884,82,1200000,867983,2016,7,False
885,101,1200000,5078,2016,6,False
886,107,1200000,90878,2017,9,False
